schoolid,schoolname,CalendarYear,Firsttimebaryear,GradTotal,GradDidNotTake,GradTakers,graddidnottakepct,GradNoInfo,gradnoinfopct,graddidnottakenoinfopct,PriorYrFirstTimeTaker,EarlyFirstTimeTakers,TotalFirstTimeTakers,totalfirsttimepassers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,GradAltPath,AvgPassPctAltPath,UltimateBarYear,UltimateCohortTotal,UltimateDidNotTake,UltimateNoInfo,UltimateTakers,UltimatePassers,UltimateSchoolPassPct,UltimateAltPath,UltimatePassPctAltPath
00201000,Louisiana State University,2024,2023,177,11,149,0.0621,17,0.096,0.1582,1,0,150,138,,0.92,0.7345,0.1855,0,0.92,2021,184,2,2,180,165,0.9167,0,0.9167
00201600,Loyola University-New Orleans,2024,2023,185,16,169,0.0865,0,0,0.0865,15,1,184,122,,0.663,0.7269,-0.0639,0,0.663,2021,153,6,0,147,137,0.932,0,0.932
00202500,Southern University,2024,2023,226,59,85,0.2611,82,0.3628,0.6239,0,0,85,45,,0.5294,0.7202,-0.1908,0,0.5294,2021,201,0,43,158,114,0.7215,0,0.7215
00202900,Tulane University,2024,2023,212,12,199,0.0566,1,0.0047,0.0613,7,0,206,164,,0.7961,0.7602,0.0359,0,0.7961,2021,202,0,5,194,174,0.8969,0,0.8969
00205400,University of Maine,2024,2023,85,10,75,0.1176,0,0,0.1176,1,0,76,67,,0.8816,0.7246,0.157,0,0.8816,2021,81,3,0,78,62,0.7949,0,0.7949
00210200,University of Baltimore,2024,2023,206,33,173,0.1602,0,0,0.1602,28,0,201,130,,0.6468,0.6963,-0.0495,0,0.6468,2021,204,19,0,185,154,0.8324,0,0.8324
00210400,University of Maryland,2024,2023,211,12,183,0.0569,16,0.0758,0.1327,16,0,199,149,,0.7487,0.7156,0.0331,0,0.7487,2021,210,8,3,199,177,0.8894,0,0.8894
00212801,Boston College,2024,2023,242,4,234,0.0165,4,0.0165,0.0331,9,1,243,233,,0.9588,0.7949,0.1639,0,0.9588,2021,227,4,3,220,216,0.9818,0,0.9818
00213007,Boston University,2024,2023,243,12,231,0.0494,0,0,0.0494,13,2,244,214,,0.877,0.7944,0.0826,0,0.877,2021,281,9,0,272,267,0.9816,,0.9816
00215510,Harvard University,2024,2023,572,17,542,0.0297,13,0.0227,0.0524,22,4,564,542,,0.961,0.7991,0.1619,0,0.961,2021,595,16,8,571,569,0.9965,0,0.9965
00219900,Northeastern University,2024,2023,205,23,182,0.1122,0,0,0.1122,14,0,196,169,,0.8622,0.8004,0.0618,0,0.8622,2021,198,15,0,183,171,0.9344,0,0.9344
00221007,University of Massachusetts Dartmouth,2024,2023,114,13,101,0.114,0,0,0.114,5,0,106,63,,0.5943,0.7827,-0.1884,0,0.5943,2021,86,5,0,81,66,0.8148,0,0.8148
00221810,Suffolk University,2024,2023,349,14,314,0.0401,21,0.0602,0.1003,15,2,329,261,,0.7933,0.7999,-0.0066,,0.7933,2021,338,,18,320,278,0.8688,,0.8688
00222600,Western New England University,2024,2023,102,20,82,0.1961,0,0,0.1961,4,0,86,59,,0.686,0.741,-0.055,0,0.686,2021,73,3,0,70,53,0.7571,0,0.7571
00225400,Michigan State University,2024,2023,190,33,157,0.1737,0,0,0.1737,23,,180,131,,0.7278,0.6645,0.0633,,0.7278,2021,193,23,1,170,146,0.8588,0,0.8588
00232300,University of Detroit Mercy,2024,2023,182,85,97,0.467,0,0,0.467,33,0,130,77,,0.5923,0.6295,-0.0372,0,0.5923,2021,178,73,0,105,94,0.8952,0,0.8952
00232503,University of Michigan,2024,2023,309,22,285,0.0712,2,0.0065,0.0777,8,0,293,285,,0.9727,0.7787,0.194,0,0.9727,2021,364,5,7,358,348,0.9721,0,0.9721
00232902,Wayne State University,2024,2023,110,26,84,0.2364,0,0,0.2364,21,0,105,70,,0.6667,0.6358,0.0309,0,0.6667,2021,131,8,0,123,113,0.9187,0,0.9187
00234500,University of St. Thomas (Minnesota),2024,2023,146,7,138,0.0479,1,0.0068,0.0548,17,0,155,122,,0.7871,0.8146,-0.0275,0,0.7871,2021,142,1,0,141,129,0.9149,0,0.9149
00239101,Mitchell Hamline School of Law,2024,2023,320,69,251,0.2156,0,0,0.2156,56,0,307,222,,0.7231,0.7881,-0.065,0,0.7231,2021,331,26,0,305,237,0.777,0,0.777
00241501,Mississippi College,2024,2023,108,15,93,0.1389,0,0,0.1389,8,0,101,76,,0.7525,0.7359,0.0166,0,0.7525,2021,87,5,0,82,62,0.7561,0,0.7561
00244000,University of Mississippi,2024,2023,155,27,128,0.1742,0,0,0.1742,28,1,156,115,,0.7372,0.7497,-0.0125,0,0.7372,2021,144,6,0,138,116,0.8406,0,0.8406
00250609,Saint Louis University,2024,2023,185,22,158,0.1189,5,0.027,0.1459,23,0,181,157,,0.8674,0.8299,0.0375,0,0.8674,2021,167,2,2,163,155,0.9509,0,0.9509
00251600,University of Missouri,2024,2023,104,9,95,0.0865,0,0,0.0865,4,0,99,86,,0.8687,0.8356,0.0331,0,0.8687,2021,91,3,0,88,80,0.9091,0,0.9091
00251800,University of Missouri-Kansas City,2024,2023,155,39,115,0.2516,1,0.0065,0.2581,21,0,136,105,,0.7721,0.8352,-0.0631,0,0.7721,2021,135,10,0,125,116,0.928,0,0.928
00252000,Washington University,2024,2023,228,10,218,0.0439,0,0,0.0439,5,0,223,205,,0.9193,0.8004,0.1189,0,0.9193,2021,246,11,0,235,222,0.9447,0,0.9447
00253600,University of Montana,2024,2023,79,15,63,0.1899,1,0.0127,0.2025,1,0,64,55,,0.8594,0.8388,0.0206,0,0.8594,2021,71,0,1,70,68,0.9714,0,0.9714
00254200,Creighton University,2024,2023,124,17,95,0.1371,12,0.0968,0.2339,3,0,98,64,,0.6531,0.735,-0.0819,0,0.6531,2021,105,3,0,102,90,0.8824,0,0.8824
00256500,University of Nebraska,2024,2023,123,14,109,0.1138,0,0,0.1138,16,0,125,95,,0.76,0.7061,0.0539,0,0.76,2021,112,4,1,107,105,0.9813,0,0.9813
00256900,University of Nevada - Las Vegas,2024,2023,150,38,100,0.2533,12,0.08,0.3333,25,0,125,96,,0.768,0.7111,0.0569,0,0.768,2021,168,0,6,162,137,0.8457,0,0.8457
