schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00337800,University of Pennsylvania,2024,2023,302,176,124,0,2,55,104,53,50,0,1,24,198,123,74,0,1,31,19,19,0,,,
00337900,University of Pittsburgh,2024,2023,161,101,60,0,0,25,44,22,22,0,0,12,117,79,38,0,0,13,6,5,1,,,
00338801,Villanova University,2024,2023,127,77,50,0,0,19,51,26,25,0,0,11,76,51,25,0,0,8,9,9,0,,,
00341001,Roger Williams University,2024,2023,104,48,56,0,0,17,38,10,28,0,0,10,66,38,28,0,0,7,5,5,0,,,
00344800,University of South Carolina,2024,2023,149,89,60,0,0,30,60,28,32,0,0,10,89,61,28,0,0,20,7,7,0,,,
00347400,University of South Dakota,2024,2023,44,25,19,0,0,3,20,10,10,0,0,2,24,15,9,0,0,1,3,3,0,,,
00347900,Belmont University,2024,2023,51,32,18,0,1,8,24,13,11,0,0,4,27,19,7,0,1,4,3,3,0,,,
00350200,Lincoln Memorial University,2024,2023,56,26,30,0,0,12,21,10,11,0,0,2,35,16,19,0,0,10,3,3,0,,,
00350900,University of Memphis,2024,2023,69,37,32,0,0,17,23,9,14,0,0,5,46,28,18,0,0,12,5,5,0,,,
00353000,University of Tennessee,2024,2023,115,66,49,0,0,19,39,20,19,0,0,10,76,46,30,0,0,9,7,7,0,,,
00353500,Vanderbilt University,2024,2023,154,96,58,0,0,25,57,32,25,0,0,9,97,64,33,0,0,16,8,8,0,,,
00354500,Baylor University,2024,2023,195,111,84,0,0,47,37,19,18,0,0,6,158,92,66,0,0,41,4,4,0,,,
00361300,Southern Methodist University,2024,2023,186,117,69,0,0,35,61,28,33,0,0,12,125,89,36,0,0,23,7,7,0,,,
00362300,"St. Mary's University",2024,2023,113,75,38,0,0,31,51,29,22,0,0,16,62,46,16,0,0,15,3,3,0,,,
00363221,Texas A&M University,2024,2023,155,93,62,0,0,26,67,37,30,0,0,15,88,56,32,0,0,11,6,6,0,,,
00364200,Texas Southern University,2024,2023,93,39,54,0,0,79,45,19,26,0,0,36,48,20,28,0,0,43,5,5,0,,,
00364400,Texas Tech University,2024,2023,73,46,27,0,0,13,40,24,16,0,0,8,33,22,11,0,0,5,5,5,0,,,
00365200,University of Houston,2024,2023,254,151,103,0,0,62,59,31,28,0,0,12,195,120,75,0,0,50,9,8,1,,,
00365800,University of Texas at Austin,2024,2023,285,185,100,0,0,46,96,59,37,0,0,17,189,126,63,0,0,29,14,13,1,,,
00367000,Brigham Young University,2024,2023,121,77,44,0,0,11,49,30,19,0,0,6,72,47,25,0,0,5,10,10,0,,,
00367500,University of Utah,2024,2023,95,56,39,0,0,17,43,21,22,0,0,7,52,35,17,0,0,10,5,5,0,,,
00370500,William and Mary Law School,2024,2023,155,100,55,0,0,24,45,24,21,0,0,6,110,76,34,0,0,18,10,10,0,,,
00374400,University of Richmond,2024,2023,131,65,66,0,0,22,57,25,32,0,0,12,74,40,34,0,0,10,8,8,0,,,
00374500,University of Virginia,2024,2023,266,168,98,0,0,38,105,64,41,0,0,22,161,104,57,0,0,16,16,16,0,,,
