schoolid,schoolname,CalendarYear,AcademicYear,CondScholInd,NumEnteringCondSchol,NumEliminatedCondSchol,NumStudents,FTNumStudents,PTNumStudents,TotalRecvGrant,TotalRecvGrantP,FTRecvGrant,PTRecvGrant,TotalGrantLTHalf,TotalGrantLTHalfP,FTGrantLTHalf,PTGrantLTHalf,TotalGrantALHalf,TotalGrantALHalfP,FTGrantALHalf,PTGrantALHalf,TotalGrantFull,TotalGrantFullP,FTGrantFull,PTGrantFull,TotalGrantGTFull,TotalGrantGTFullP,FTGrantGTFull,PTGrantGTFull,FTGrantAmt75,PTGrantAmt75,FTGrantAmtMedian,PTGrantAmtMedian,FTGrantAmt25,PTGrantAmt25
00291300,Campbell University,2024,2023,N,,,562,562,0,555,98.8,555,,325,57.8,325,,228,40.6,228,,1,0.2,1,,1,0.2,1,,29400,,20000,,13750,
00292002,Duke University,2024,2023,N,,,752,752,0,708,94.1,708,,512,68.1,512,,191,25.4,191,,5,0.7,5,,0,0,0,,38000,,32000,,25000,
00292701,Elon University,2024,2023,Y,37,0,445,445,0,392,88.1,392,,165,37.1,165,,201,45.2,201,,14,3.1,14,,12,2.7,12,,32143,,21429,,10714,
00295000,North Carolina Central University,2024,2023,N,,,432,360,72,297,68.8,264,33,124,28.7,108,16,137,31.7,122,15,2,0.5,2,0,34,7.9,32,2,20000,14170,12000,10000,10000,6876
00297400,University of North Carolina,2024,2023,N,,,572,572,0,532,93,532,,194,33.9,194,,307,53.7,307,,13,2.3,13,,18,3.1,18,,20000,,17500,,15000,
00297805,Wake Forest University,2024,2023,N,,,490,490,0,392,80,392,,117,23.9,117,,270,55.1,270,,2,0.4,2,,3,0.6,3,,46000,,40000,,20000,
00300500,University of North Dakota,2024,2023,Y,5,0,238,238,0,121,50.8,121,,93,39.1,93,,22,9.2,22,,0,0,0,,6,2.5,6,,8000,,5072,,1250,
00302302,Capital University,2024,2023,Y,183,12,455,359,96,443,97.4,340,103,235,51.6,176,59,200,44,158,42,2,0.4,2,0,6,1.3,4,2,32000,22875,20075,12000,12000,7038
00302400,Case Western Reserve University,2024,2023,N,,,480,479,1,461,96,461,0,85,17.7,85,0,376,78.3,376,0,0,0,0,0,0,0,0,0,48640,0,44000,0,33500,0
00303200,Cleveland State University,2024,2023,N,,,420,314,106,352,83.8,288,64,192,45.7,145,47,173,41.2,143,30,1,0.2,1,0,0,0,0,0,24665,15313,18310,6262,6775,2738
00308900,Ohio Northern University,2024,2023,N,,,0,0,0,209,,209,,85,,85,,107,,107,,0,,0,,17,,17,,27000,,19500,,10440,
00309000,The Ohio State University,2024,2023,N,,,505,505,0,450,89.1,450,,115,22.8,115,,146,28.9,146,,150,29.7,150,,39,7.7,39,,34153,,25530,,17020,
00312300,University of Akron,2024,2023,N,,,441,319,122,411,93.2,303,108,255,57.8,169,86,151,34.2,131,20,5,1.1,3,2,0,0,0,0,19000,8000,11000,4000,4000,2000
00312500,University of Cincinnati,2024,2023,N,,,387,387,0,373,96.4,373,,96,24.8,96,,231,59.7,231,,46,11.9,46,,0,0,0,,26600,,19300,,12500,
00312700,University of Dayton,2024,2023,N,,,377,236,141,370,98.1,226,144,52,13.8,21,31,292,77.5,179,113,0,0,0,0,26,6.9,26,0,35000,21816,33000,19091,26000,13634
00313100,University of Toledo,2024,2023,N,,,351,309,42,275,78.3,230,45,116,33,80,36,74,21.1,66,8,58,16.5,57,1,27,7.7,27,0,25172,11700,20000,10000,10000,3700
00316614,Oklahoma City University,2024,2023,Y,4,0,427,427,0,296,69.3,296,,225,52.7,225,,60,14.1,60,,0,0,0,,18,4.2,18,,19793,,14000,,8000,
00318400,University of Oklahoma,2024,2023,Y,8,0,529,529,0,494,93.4,494,,340,64.3,340,,139,26.3,139,,0,0,0,,15,2.8,15,,15550,,11835,,7000,
00318500,University of Tulsa,2024,2023,N,,,382,382,0,0,0,0,,197,51.6,197,,17,4.5,17,,0,0,0,,0,0,0,,22013,,9998,,4080,
00319700,Lewis and Clark College,2024,2023,N,,,533,405,128,511,95.9,391,120,276,51.8,213,63,233,43.7,176,57,0,0,0,0,2,0.4,2,0,34000,26382,26000,19950,19000,11094
00322300,University of Oregon,2024,2023,N,,,471,471,0,370,78.6,370,,209,44.4,209,,138,29.3,138,,10,2.1,10,,13,2.8,13,,35000,,20000,,11522,
00322700,Willamette University,2024,2023,N,,,344,344,0,302,87.8,302,,200,58.1,200,,85,24.7,85,,15,4.4,15,,2,0.6,2,,30000,,20000,,10000,
00325600,Drexel University,2024,2023,Y,31,7,426,426,0,318,74.6,318,,134,31.5,134,,163,38.3,163,,1,0.2,1,,20,4.7,20,,52800,,34000,,12286,
00325800,Duquesne University,2024,2023,N,,,509,408,101,479,94.1,396,83,246,48.3,181,65,143,28.1,128,15,82,16.1,79,3,8,1.6,8,0,42000,20000,30000,15000,20000,10000
00331301,Widener University-Delaware,2024,2023,N,,,686,546,140,690,100.6,548,142,316,46.1,186,130,358,52.2,350,8,1,0.1,1,0,1,0.1,1,0,35000,18000,32000,13500,25000,9000
00331302,Widener Commonwealth,2024,2023,N,,,374,286,88,348,93,269,79,201,53.7,148,53,142,38,118,24,2,0.5,2,0,3,0.8,1,2,34000,22000,25500,16000,17750,8000
00332900,Pennsylvania State University-Penn State Law,2024,2023,N,,,403,403,0,405,100.5,405,,74,18.4,74,,127,31.5,127,,201,49.9,201,,3,0.7,3,,55824,,55824,,33100,
00332922,Pennsylvania State University,2024,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00332923,Pennsylvania State University-Dickinson School of Law,2024,2023,N,,,295,295,0,294,99.7,294,,29,9.8,29,,204,69.2,204,,0,0,0,,61,20.7,61,,57720,,56498,,40000,
00337101,Temple University,2024,2023,N,,,658,546,112,586,89.1,515,71,143,21.7,110,33,408,62,370,38,1,0.2,1,0,34,5.2,34,0,38375,23878,29842,13125,18750,5625
00337800,University of Pennsylvania,2024,2023,N,,,809,809,0,448,55.4,448,,169,20.9,169,,163,20.1,163,,113,14,113,,3,0.4,3,,76246,,43000,,30984,
00337900,University of Pittsburgh,2024,2023,N,,,388,388,0,305,78.6,305,,82,21.1,82,,212,54.6,212,,0,0,0,,11,2.8,11,,38000,,30000,,20653,
00338801,Villanova University,2024,2023,N,,,553,553,0,496,89.7,496,,161,29.1,161,,334,60.4,334,,0,0,0,,1,0.2,1,,44000,,37000,,23029,
